Country,Year,empty,hdpe,ldpe,o,pet,pp,ps,pvc,grand_total,num_events,volunteers,Code,AnnualMeanTemp,gdp_nominal,gdp_per_capita_nominal
Sri Lanka,2019,0,434,2240,1316,932,1662,1054,104,7742,2,48,LKA,27.68,89.015,4082.694
Sri Lanka,2020,0,0,0,15,7,0,0,0,22,1,40,LKA,27.64,84.304,3846.175
Switzerland,2019,0,36,0,14144,204,280,338,0,15002,6,327,CHE,7.31,721.89,84481.041
Switzerland,2020,2342,102,1528,45612,1018,902,722,51,52277,18,540,CHE,7.64,741.311,86138.871
Tanzania,2019,0,0,0,326,2200,0,0,0,2526,21,103,TZA,23.26,58.797,1043.939
Tanzania,2020,2,113,3,2781,4106,264,49,0,7318,15,2719,TZA,23.1,63.373,1092.613
Thailand,2019,0,730,0,6,0,0,0,2,738,5,374,THA,27.49,543.879,7811.477
Thailand,2020,0,312,2,971,1108,75,109,106,2683,9,337,THA,27.42,500.501,7170.503
Togo,2020,0,0,0,11233,759,0,2,0,11994,1,92,TGO,27.81,7.4,876.511
Tunisia,2019,0,0,0,0,80,0,0,0,80,1,32,TUN,20.72,41.905,3556.377
Tunisia,2020,17,167,615,541,596,362,6,15,2319,2,49,TUN,20.86,42.494,3569.972
Turkey,2019,0,232,0,0,116,8,0,0,356,4,312,TUR,12.46,760.388,9144.221
Ukraine,2019,0,38,190,7792,1356,168,132,0,9676,7,114,UKR,10.69,154.14,3693.498
Ukraine,2020,0,428,509,3700,1835,1195,208,15,7890,17,238,UKR,10.86,156.579,3780.393
United Arab Emirates,2019,0,0,0,2,22,0,0,0,24,1,3,ARE,28.65,417.99,43981.612
United Arab Emirates,2020,1,0,0,0,0,0,0,0,1,1,12,ARE,28.42,349.473,37648.953
United Kingdom,2019,0,0,0,0,0,0,6,0,6,1,21,GBR,9.55,2853.074,42712.614
United Kingdom,2020,3,153,752,1069,480,942,1122,101,4622,8,90,GBR,9.68,2698.705,40230.545
United States of America,2019,0,40,338,1950,338,5826,136,0,8628,42,740,USA,9.73,21539.975,65561.32
United States of America,2020,475,654,825,4485,3103,3513,757,179,13994,134,511,USA,10.02,21354.125,64461.618
Vietnam,2019,0,58,4202,9940,5972,816,700,86,21774,4,400,VNM,25.41,331.818,3439.102
Vietnam,2020,112,212,198,4779,1516,394,1587,11,8809,6,27,VNM,25.23,346.31,3548.892
